!Cannot_Add_Group_Folder2		'.  The folder may not be accessible.
!Cannot_Add_Group_Folder		Unable to add the group named '
!Cannot_Locate_Student_Folder	Could not locate the student's folder.  Using Guest settings.
!Cannot_Read_Group_Folder	Can't create group folder or scan user folders for the group :
!Cannot_Rename_Group_Folder	Unable to rename group folder to : 
!Cannot_Scan_Group_Folders	Unable to scan for group folders.  They may be inaccessible.
!Cannot_Add_To_Guest_Group	You cannot add users to the Guest group.
!Could_Not_Be_Added		' could not be added.  The file location may not be accessible.
!Group_Folder_Inaccessible	Unable to scan the groups and users.  The root folder may be inaccessible.
!Group_Already_Exists		There is already a group of that name.  Please choose another name.
!Group_Is_Not_Empty		The group cannot be removed because it is not empty.  Please delete all users before deleting the group.
!Keyboard_Software_Not_Responding	The USB Keyboard software is not responding.  It may not be running, or it may be busy.  Check to see that the software is running, then try changing the setting again.
!Keyboard_Not_Reset		The keyboard was not reset.  Try again.
!Root_Folder_Does_Not_Exist	The root folder does not exists.  Please check your installation.
!The_User			The user '
!Unable_To_Load_Applications	Unable to load the applications for this user.
!Unable_To_Load_The_Settings	Unable to load the settings file for this user.
!Unable_To_Locate_Preferences	Unable to locate the preferences file in the private folder.
!Unable_To_Save_Preferences	Unable to write the preferences file.
!Unable_To_Save_The_Settings	Unable to save the settings file for this user.
!Unsupported_USB_Keyboard_Message	Intellikeys USB Software received an unsupported message : ID = 
!User_Already_Exists		There is already a user of that name.  Please choose another name.
!Users_Folder_Does_Not_Exist	The users folder does not exists.  Please check your installation.
$1				1
$Specific_Overlay_=		Specific Overlay =
$Standard_Overlay_0_Name		Web Access USB Overlay
$Standard_Overlay_1_Name		Setup USB Overlay
$Standard_Overlay_2_Name		Math Access USB Overlay
$Standard_Overlay_3_Name		Alphabet USB Overlay
$Standard_Overlay_4_Name		Mouse Access USB Overlay
$Standard_Overlay_5_Name		QWERTY USB Overlay
$Standard_Overlay_6_Name		Basic Writing USB Overlay
$Standard_Overlay_7_Name		none
$Standard_Overlay_=		Standard Overlay =
$Standard_Overlay_In_Place_:	Standard Overlay In Place :
$Standard_Overlay_Note	NOTE: Whenever a Standard Overlay is inserted, it will take effect and override any overlay chosen above.
$Sticky					Sticky
$Student_Delete					De&lete
$Student_New...					N&ew...
$Student_Rename...				Rena&me...
$Sure_Delete_Group		Are you sure you want to delete the group
$Sure_Delete_User		Are you sure you want to delete the user
$Switch_			switch 
$Switch_1_:		Switch 1 : 
$Switch_1_=			Switch 1 =
$Switch_2_:		Switch 2 : 
$Switch_2_=			Switch 2 =
$Switch_3_:		Switch 3 : 
$Switch_3_=			Switch 3 =
$Switch_4_:		Switch 4 : 
$Switch_4_=			Switch 4 =
$Switch_5_:		Switch 5 : 
$Switch_5_=			Switch 5 =
$Switch_Content_0
$Switch_Content_1		Switches:||1: Control-Enter|2: Control-Enter|3: Control-Enter|4: Control-Enter|5: Control-Enter
$Switch_Content_10	Switches:||1: Tab|2: Enter|3: Tab|4: Enter|5: Tab
$Switch_Content_11	Switches:||1: Tab|2: Space|3: Tab|4: Space|5: Tab 
$Switch_Content_12	Switches:||1: Tab|2: Shift-Tab|3: Tab|4: Shift-Tab|5: Tab
$Switch_Content_13	Switches:||1: Left Shift|2: Right Shift|3: Left Shift|4: Right Shift|5: Left Shift
$Switch_Content_14	Switches:||1: Down Arrow|2: Enter|3: Down Arrow|4: Enter|5: Down Arrow 
$Switch_Content_15	Switches:||1: Right Arrow|2: Enter|3: Right Arrow|4: Enter|5: Right Arrow 
$Switch_Content_16	Switches:||1: Left Mouse Click|2: Right Mouse Click|3: Left Mouse Click|4: Right Mouse Click|5: Left Mouse Click
$Switch_Content_17	Switches:||1: Up Arrow|2: Down Arrow|3: Left Arrow|4: Right Arow|5: Enter
$Switch_Content_18	Switches:||1: Up Arrow|2: Down Arrow|3: Left Arrow|4: Right Arow|5: Space
$Switch_Content_19	Switches:||1: 1|2: 2|3: 3|4: 4|5: 0
$Switch_Content_2		Switches:||1: Control-Right Arrow|2: Control-Down Arrow|3: Control-Right Arrow|4: Control-Down Arrow|5: Control-Right Arrow
$Switch_Content_20	Switches:||1: 1|2: 2|3: 3|4: 4|5: Enter
$Switch_Content_21	Switches:||1: Space|2: Enter|3: Tab|4: Shift-Tab|5: Backspace
$Switch_Content_22	Switches:||1: Left Shift|2: Right Shift|3: Control|4: Command/Left Alt|5: Command/Right Alt
$Switch_Content_23	Switches:||1: Left Mouse Click|2: Right Mouse Click|3: Left Mouse Double-Click|4: Space|5: Enter
$Switch_Content_24	Switches:||1: Left Mouse Click|2: Right Mouse Click|3: Middle Mouse Click|4: Left Side Mouse Click|5: Right Side Mouse Click
$Switch_Content_25	Switches:||1: Left Mouse Click|2: Space|3: Q|4: Z|5: Escape
$Switch_Content_26	Switches:||1: Mouse Up|2: Mouse Down|3: Mouse Left|4: Mouse Right|5: Button Click
$Switch_Content_3		Switches:||1: Space|2: Enter|3: Space|4: Enter|5: Space
$Switch_Content_4		Switches:||1: Left Mouse Click|2: Left Mouse Click|3: Left Mouse Click|4: Left Mouse Click|5: Left Mouse Click
$Switch_Content_5		Switches:||1: Left Mouse Click|2: Left Mouse Double-Click|3: Left Mouse Click|4: Left Mouse Double-Click|5: Left Mouse Click
$Switch_Content_6		Switches:||1: Left Arrow|2: Right Arrow|3: Left Arrow|4: Right Arrow|5: Left Arrow
$Switch_Content_7		Switches:||1: Up Arrow|2: Down Arrow|3: Up Arrow|4: Down Arrow|5: Up Arrow
$Switch_Content_8		Switches:||1: Left Arrow|2: Up Arrow|3: Left Arrow|4: Up Arrow|5: Left Arrow
$Switch_Content_9		Switches:||1: 1|2: 2|3: 1|4: 2|5: 1
$Switch_Setting_=		Switch Setting =
$Switched_Off		Switched Off
$Switched_On		Switched On
$Tab_Does_Not_Apply		NOTE: Settings on this tab have no effect unless you select "Overlays" on the Mode tab.
$Tab_Does_Not_Apply_Msg		NOTE: Settings on the Applications tab have no effect unless you select "Overlays" on the Mode tab.
$Testing		Testing
$The_App_Highlighted	For the application selected below... 
$The_Group_Named		The group named
$Three				Three
$Touch_Features		Touch Features
$Touch_Features_Tab_Title		Touch &Features
$Troubleshooting	Tro&ubleshooting
$True				True
$Unknown			Unknown
$Use_				use 
$Use_As_A_Switch		Use As A Switch
$Use_Intellikeys...		When not using a Standard overlay, use IntelliKeys...
$Use_Last_Sent_Overlay		Use Last Sent Overlay
$Use_This_Overlay		Use This Overlay
$User:			User:
$User_Name				User Name
$User_Name:				User Name:
$Users					Users
$Visit_Our_Website	&Visit Our Website
$Volume:		Volume:
$VolumeTest				Test
$Was_Expected	cannot be found.  It was expected at path
$Yes					Yes
$already_attached	That overlay is already attached.  
$app_already_added	That application is already in the list. 
$attach_edit_overlays	Attach/Edit Overlays 
$confirm_delete_app	Are you sure you want to remove the selected application? 
$confirm_detach_overlay		Are you sure you want to detach the selected overlay? 
$current_overlay	Current overlay: 
$mode_overlays_one		Use the same overlay for all applications
$sent_by		Sent by: 

$All_Intellikeys_Overlays	All Intellikeys Overlays
$All_Files					All Files
$IntelliKeys_Editable_Overlay	IntelliKeys Editable Overlay
$IntelliKeys_Content_Overlay	IntelliKeys Content Overlay
$IntelliKeys_Group_Overlay		IntelliKeys Group Overlay
$IntelliKeys_Template_Overlay	IntelliKeys Template Overlay

