!Cannot_Add_Group_Folder2		'.  La carpeta puede no ser accesible.
!Cannot_Add_Group_Folder		No se puede agregar el grupo denominado '
!Cannot_Locate_Student_Folder	No se pudo localizar la carpeta del estudiante.  Usando la configuración de invitado.
!Cannot_Read_Group_Folder	No se puede crear carpeta de grupo o escanear las carpetas de usuario para el grupo :
!Cannot_Rename_Group_Folder	No se puede cambiar el nombre de carpeta de grupo a : 
!Cannot_Scan_Group_Folders	No se puede escanear las carpetas de grupo.  Pueden ser inaccesibles.
!Cannot_Add_To_Guest_Group	No se puede agregar usuarios al Grupo de invitados.
!Could_Not_Be_Added		' podría no agregarse.  La ubicación del archivo puede no ser accesible.
!Group_Folder_Inaccessible	No se puede escanear los grupos y los usuarios.  La carpeta raíz puede ser inaccesible.
!Group_Already_Exists		Ya existe un grupo con ese nombre.  Por favor, elija otro nombre.
!Group_Is_Not_Empty		No se puede quitar el grupo porque no está vacío.  Por favor elimine todos los usuarios antes de eliminar el grupo.
!Keyboard_Software_Not_Responding	El software del teclado USB no responde.  Puede no estar en funcionamiento, o puede estar ocupado.  Compruebe que el software se esté ejecutando, y a continuación intente volver a cambiar la configuración.
!Keyboard_Not_Reset		El teclado no se reinició.  Inténtelo de nuevo.
!Root_Folder_Does_Not_Exist	La carpeta raíz no existe.  Compruebe la instalación.
!The_User			El usuario '
!Unable_To_Load_Applications	No se puede cargar las aplicaciones para este usuario.
!Unable_To_Load_The_Settings	No se puede cargar el archivo de configuración para este usuario.
!Unable_To_Locate_Preferences	No se puede encontrar el archivo de preferencias en la carpeta privada.
!Unable_To_Save_Preferences	No se puede escribir el archivo de preferencias.
!Unable_To_Save_The_Settings	No se puede guardar el archivo de configuración para este usuario.
!Unsupported_USB_Keyboard_Message	El software de Intellikeys USB recibió un mensaje no admitido : ID = 
!User_Already_Exists		Ya existe un usuario con ese nombre.  Por favor, elija otro nombre.
!Users_Folder_Does_Not_Exist	La carpeta usuarios no existe.  Compruebe la instalación.
$1				1
$Overlay_Name_=			Nombre de overlay =
$Overlay_Sending_Disabled	Envío deshabilitado, revisar pestaña Modo
$Pad_:			: Rellenar
$Program_Files		Archivos de programa 
$Programs		Aplicaciones 
$Radio_Attached		El panel de control enviará la overlay seleccionada a continuación: 
$Radio_None		El Panel de Control no enviará una overlay
$Remove			Quitar 
$Removing_App_Body	La aplicación que seleccionó está diseñada para enviar sus propias overlays.  No puede adjuntar overlays a ésta utilizando el Panel de control de IntelliKeys USB, por lo que se eliminará ahora de la lista.  Consulte la Guía del usuario de la aplicación sobre cómo adjuntar overlays.
$Removing_App_Title	Quitar aplicación
$Repeat			Repetición
$Repeat_Features	Características Repetición
$Repeat_Latching	Repetición Automática
$Repeat_Latching_Is		Repetición automática es
$Repeat_Rate:		Velocidad Repetición:
$Repeat_Rate_=			Velocidad Repetición =
$Repeat_Is			La repetición es
$Required_Lift_Off	Alza Obligitoria
$Required_Lift_Off_Is		Alza Obligitoria es
$Response_Rate:		Velocidad Respuesta:
$Response_Rate_=		Velocidad Respuesta =
$Row_=				Fila =
$Sensor_Values_:_		Valores de los Sensores : 
$Sensor_Values_=		Valores de los Sensores =
$Sent_By:			Enviado por : 
$Sent_By_	Enviado por:
$Sent_By_=		Enviado por = 
$Serial_Number_:	Número de Serie :
$Serial_Number_=		Número de Serie
$Shift_Key_Action_=		Efecto de Tecla Mayús =
$Show_Mode_Warning	Mostrar advertencia cuando no se pueda enviar la overlay
$Six				Seis
$Smart_Typing		Tipeo Inteligente
$Smart_Typing_Is		La escritura inteligente es
$Software_Version_:	Versión de Software :
$Software_Version_=		Versión de Software =
$Specific_Overlay_=		Overlay específica =
$Standard_Overlay_0_Name		Overlay Acceso Web USB 
$Standard_Overlay_1_Name		Overlay Configuración USB
$Standard_Overlay_2_Name		Overlay Acceso Calculo USB
$Standard_Overlay_3_Name		Overlay Alfabeto USB
$Standard_Overlay_4_Name		Overlay Acceso Mouse USB
$Standard_Overlay_5_Name		Overlay QWERTY USB
$Standard_Overlay_6_Name		Overlay Escritura Basica
$Standard_Overlay_7_Name		ninguno
$Standard_Overlay_=		Overlay estándar =
$Standard_Overlay_In_Place_:	Overlay estándar en el lugar :
$Standard_Overlay_Note	NOTA: Cada vez que una overlay estándar sea insertada, entrará en acción y anulará cualquier overlay seleccionada anteriormente.
$Sticky					Pegajoso
$Student_Delete					E&liminar
$Student_New...					N&uevo...
$Student_Rename...				Reno&mbrar...
$Sure_Delete_Group		¿Está seguro que desea eliminar el grupo?
$Sure_Delete_User		¿Está seguro que desea eliminar el usuario?
$Switch_			switch 
$Switch_1_:		Switch 1 : 
$Switch_1_=			Switch 1 =
$Switch_2_:		Switch 2 : 
$Switch_2_=			Switch 2 =
$Switch_3_:		Switch 3 : 
$Switch_3_=			Switch 3 =
$Switch_4_:		Switch 4 : 
$Switch_4_=			Switch 4 =
$Switch_5_:		Switch 5 : 
$Switch_5_=			Switch 5 =
$Switch_Content_0
$Switch_Content_1		Switches:||1: Control-Intro|2: Control-Intro|3: Control-Intro|4: Control-Intro|5: Control-Intro
$Switch_Content_10	Switches:||1: Tab|2: Intro|3: Tab|4: Intro|5: Tab
$Switch_Content_11	Switches:||1: Tab|2: Espacio|3: Tab|4: Espacio|5: Tab 
$Switch_Content_12	Switches:||1: Tab|2: Mayús-Tab|3: Tab|4: Mayús-Tab|5: Tab
$Switch_Content_13	Switches:||1: Mayús Izq|2: Mayús Der|3: Mayús Izq|4: Mayús Der|5: Mayús Izq
$Switch_Content_14	Switches:||1: Flecha abajo|2: Intro|3: Flecha abajo|4: Intro|5: Flecha abajo 
$Switch_Content_15	Switches:||1: Flecha derecha|2: Intro|3: Flecha derecha|4: Intro|5: Flecha derecha 
$Switch_Content_16	Switches:||1: Clic botón izquierdo|2: Clic botón derecho|3: Clic botón izquierdo|4: Clic botón derecho|5: Clic botón izquierdo
$Switch_Content_17	Switches:||1: Flecha arriba|2: Flecha abajo|3: Flecha izquierda|4: Flecha derecha|5: Intro
$Switch_Content_18	Switches:||1: Flecha arriba|2: Flecha abajo|3: Flecha izquierda|4: Flecha derecha|5: Espacio
$Switch_Content_19	Switches:||1: 1|2: 2|3: 3|4: 4|5: 0
$Switch_Content_2		Switches:||1: Control-Flecha derecha|2: Control-Flecha abajo|3: Control-Flecha derecha|4: Control-Flecha abajo|5: Control-Flecha derecha
$Switch_Content_20	Switches:||1: 1|2: 2|3: 3|4: 4|5: Intro
$Switch_Content_21	Switches:||1: Espacio|2: Intro|3: Tab|4: Mayús-Tab|5: Retroceso
$Switch_Content_22	Switches:||1: Mayús Izq|2: Mayús Der|3: Control|4: Comando/Alt Izq|5: Comando/Alt Der
$Switch_Content_23	Switches:||1: Clic botón izquierdo|2: Clic botón derecho|3: Doble clic botón izquierdo|4: Espacio|5: Intro
$Switch_Content_24	Switches:||1: Clic botón izquierdo|2: Clic botón derecho|3: Clic botón central|4: Clic botón izquierdo|5: Clic botón derecho
$Switch_Content_25	Switches:||1: Clic botón izquierdo|2: Espacio|3: Q|4: Z|5: Escape
$Switch_Content_26	Switches:||1: Ratón hacia arriba|2: Ratón hacia abajo|3: Ratón hacia la izquierda|4: Ratón hacia la derecha|5: Clic con el botón
$Switch_Content_3		Switches:||1: Espacio|2: Intro|3: Espacio|4: Intro|5: Espacio
$Switch_Content_4		Switches:||1: Clic botón izquierdo|2: Clic botón izquierdo|3: Clic botón izquierdo|4: Clic botón izquierdo|5: Clic botón izquierdo
$Switch_Content_5		Switches:||1: Clic botón izquierdo|2: Doble clic botón izquierdo|3: Clic botón izquierdo|4: Doble clic botón izquierdo|5: Clic botón izquierdo
$Switch_Content_6		Switches:||1: Flecha izquierda|2: Flecha derecha|3: Flecha izquierda|4: Flecha derecha|5: Flecha izquierda
$Switch_Content_7		Switches:||1: Flecha arriba|2: Flecha abajo|3: Flecha arriba|4: Flecha abajo|5: Flecha arriba
$Switch_Content_8		Switches:||1: Flecha izquierda|2: Flecha arriba|3: Flecha izquierda|4: Flecha arriba|5: Flecha izquierda
$Switch_Content_9		Switches:||1: 1|2: 2|3: 1|4: 2|5: 1
$Switch_Setting_=		Configurar switch =
$Switched_Off		Desactivado
$Switched_On		Activado
$Tab_Does_Not_Apply		NOTA: Los ajustes de esta pestaña no tienen ningún efecto a menos que seleccione "Overlays" en la pestaña Modo.
$Tab_Does_Not_Apply_Msg		NOTA: Los ajustes en la pestaña Aplicaciones no tienen ningún efecto a menos que seleccione "Overlays" en la pestaña Modo.
$Testing		Prueba
$The_App_Highlighted	Para la aplicación seleccionada a continuación... 
$The_Group_Named		El grupo llamado
$Three				Tres
$Touch_Features		Características Pulsación
$Touch_Features_Tab_Title		&Caract. Pulsación
$Troubleshooting	&Solución de problemas
$True				Verdadero
$Unknown			Desconocido
$Use_				utilizar 
$Use_As_A_Switch		Utilizar como Switch A
$Use_Intellikeys...		Si no utiliza una overlay estándar, utilice IntelliKeys...
$Use_Last_Sent_Overlay		Utilice la última overlay enviada
$Use_This_Overlay		Utilice esta overlay
$User:			Usuario:
$User_Name				Nombre de usuario
$User_Name:				Nombre de usuario:
$Users					Usuarios
$Visit_Our_Website	&Visite nuestro sitio web
$Volume:		Volumen:
$VolumeTest				Probar
$Was_Expected	no se puede encontrar.  Se esperaba en la ruta de acceso
$Yes					Sí
$already_attached	Esa overlay ya ha sido adjuntada.  
$app_already_added	Esa aplicación ya está en la lista. 
$attach_edit_overlays	Adjuntar/Editar Overlays 
$confirm_delete_app	¿Está seguro que desea quitar la aplicación seleccionada? 
$confirm_detach_overlay		¿Está seguro que desea eliminar la overlay seleccionada? 
$current_overlay	Overlay actual: 
$mode_overlays_one		Utilice la misma overlay para todas las aplicaciones
$sent_by		Enviado por: 

$All_Intellikeys_Overlays		SP-All Intellikeys Overlays
$All_Files						SP-All Files
$IntelliKeys_Editable_Overlay	SP-IntelliKeys Editable Overlay
$IntelliKeys_Content_Overlay	SP-IntelliKeys Content Overlay
$IntelliKeys_Group_Overlay		SP-IntelliKeys Group Overlay
$IntelliKeys_Template_Overlay	vIntelliKeys Template Overlay

